state,year,crime,rate,2015Y,2016Y,,
New England,2015,Murder,2.2,2034,1936.6,,
New England,2016,Murder,2,2034,1936.6,,
New England,2015,Rape,31.3,2034,1936.6,,
New England,2016,Rape,30.6,2034,1936.6,,
New England,2015,Robbery,65.5,2034,1936.6,,
New England,2016,Robbery,63.8,2034,1936.6,,
New England,2015,Assault,187.4,2034,1936.6,,
New England,2016,Assault,185.9,2034,1936.6,,
New England,2015,Burglary,314.5,2034,1936.6,,
New England,2016,Burglary,285.7,2034,1936.6,,
New England,2015,Larceny-theft,1312.4,2034,1936.6,,
New England,2016,Larceny-theft,1241.8,2034,1936.6,,
New England,2015,Motor vehicle theft,120.7,2034,1936.6,,
New England,2016,Motor vehicle theft,126.8,2034,1936.6,,
Connecticut,2015,Murder,3.2,2051.7,2035.2,,
Connecticut,2016,Murder,2.2,2051.7,2035.2,,
Connecticut,2015,Rape,22.3 ,2051.7,2035.2,,
Connecticut,2016,Rape,21.3 ,2051.7,2035.2,,
Connecticut,2015,Robbery,81.6 ,2051.7,2035.2,,
Connecticut,2016,Robbery,75.6 ,2051.7,2035.2,,
Connecticut,2015,Assault,114.3 ,2051.7,2035.2,,
Connecticut,2016,Assault,128.0 ,2051.7,2035.2,,
Connecticut,2015,Burglary,286.9 ,2051.7,2035.2,,
Connecticut,2016,Burglary,280.9 ,2051.7,2035.2,,
Connecticut,2015,Larceny-theft,"1,364.1 ",2051.7,2035.2,,
Connecticut,2016,Larceny-theft,"1,328.5 ",2051.7,2035.2,,
Connecticut,2015,Motor vehicle theft,179.3 ,2051.7,2035.2,,
Connecticut,2016,Motor vehicle theft,198.7 ,2051.7,2035.2,,
Maine,2015,Murder,1.7 ,"1,962.2 ","1,769.3 ",,
Maine,2016,Murder,1.5 ,"1,962.2 ","1,769.3 ",,
Maine,2015,Rape,34.7 ,"1,962.2 ","1,769.3 ",,
Maine,2016,Rape,30.9 ,"1,962.2 ","1,769.3 ",,
Maine,2015,Robbery,23.4 ,"1,962.2 ","1,769.3 ",,
Maine,2016,Robbery,20.0 ,"1,962.2 ","1,769.3 ",,
Maine,2015,Assault,70.0 ,"1,962.2 ","1,769.3 ",,
Maine,2016,Assault,71.3 ,"1,962.2 ","1,769.3 ",,
Maine,2015,Burglary,353.1 ,"1,962.2 ","1,769.3 ",,
Maine,2016,Burglary,300.6 ,"1,962.2 ","1,769.3 ",,
Maine,2015,Larceny-theft,"1,418.1 ","1,962.2 ","1,769.3 ",,
Maine,2016,Larceny-theft,"1,286.8 ","1,962.2 ","1,769.3 ",,
Maine,2015,Motor vehicle theft,61.2 ,"1,962.2 ","1,769.3 ",,
Maine,2016,Motor vehicle theft,58.2 ,"1,962.2 ","1,769.3 ",,
Massachusetts,2015,Murder,1.9 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2016,Murder,2.0 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2015,Rape,30.7 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2016,Rape,31.2 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2015,Robbery,77.6 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2016,Robbery,78.8 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2015,Assault,279.7 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2016,Assault,265.0 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2015,Burglary,321.7 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2016,Burglary,281.8 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2015,Larceny-theft,"1,248.1 ","2,078.3 ","1,938.1 ",,
Massachusetts,2016,Larceny-theft,"1,161.0 ","2,078.3 ","1,938.1 ",,
Massachusetts,2015,Motor vehicle theft,118.6 ,"2,078.3 ","1,938.1 ",,
Massachusetts,2016,Motor vehicle theft,118.3 ,"2,078.3 ","1,938.1 ",,
New Hampshire,2015,Murder,1.1 ,"1,965.6 ","1,710.6 ",,
New Hampshire,2016,Murder,1.3 ,"1,965.6 ","1,710.6 ",,
