state,year,crime,rate,year_one,year_two
New England,2015,MNM,2.20,2034.00,1936.60
New England,2016,MNM,2.00,2034.00,1936.60
New England,2015,RRD,31.30,2034.00,1936.60
New England,2016,RRD,30.60,2034.00,1936.60
New England,2015,ROB,65.50,2034.00,1936.60
New England,2016,ROB,63.80,2034.00,1936.60
New England,2015,AGA,187.40,2034.00,1936.60
New England,2016,AGA,185.90,2034.00,1936.60
New England,2015,BUR,314.50,2034.00,1936.60
New England,2016,BUR,285.70,2034.00,1936.60
New England,2015,LAT,1312.40,2034.00,1936.60
New England,2016,LAT,1241.80,2034.00,1936.60
New England,2015,MVT,120.70,2034.00,1936.60
New England,2016,MVT,126.80,2034.00,1936.60
Connecticut,2015,MNM,3.20,2051.70,2035.20
Connecticut,2016,MNM,2.20,2051.70,2035.20
Connecticut,2015,RRD,22.30,2051.70,2035.20
Connecticut,2016,RRD,21.30,2051.70,2035.20
Connecticut,2015,ROB,81.60,2051.70,2035.20
Connecticut,2016,ROB,75.60,2051.70,2035.20
Connecticut,2015,AGA,114.30,2051.70,2035.20
Connecticut,2016,AGA,128.00,2051.70,2035.20
Connecticut,2015,BUR,286.90,2051.70,2035.20
Connecticut,2016,BUR,280.90,2051.70,2035.20
Connecticut,2015,LAT,1364.10,2051.70,2035.20
Connecticut,2016,LAT,1328.50,2051.70,2035.20
Connecticut,2015,MVT,179.30,2051.70,2035.20
Connecticut,2016,MVT,198.70,2051.70,2035.20
Maine,2015,MNM,1.70,1962.20,1769.30
Maine,2016,MNM,1.50,1962.20,1769.30
Maine,2015,RRD,34.70,1962.20,1769.30
Maine,2016,RRD,30.90,1962.20,1769.30
Maine,2015,ROB,23.40,1962.20,1769.30
Maine,2016,ROB,20.00,1962.20,1769.30
Maine,2015,AGA,70.00,1962.20,1769.30
Maine,2016,AGA,71.30,1962.20,1769.30
Maine,2015,BUR,353.10,1962.20,1769.30
Maine,2016,BUR,300.60,1962.20,1769.30
Maine,2015,LAT,1418.10,1962.20,1769.30
