key,value,date
Murder and nonnegligent manslaughter,3.1,01/01/15
Murder and nonnegligent manslaughter,3.2,12/01/16
Rape(revised definition),31.1,01/01/15
Rape(revised definition),31.7,12/01/16
Rape(legacy definition),22.4,01/01/15
Rape(legacy definition),23.1,12/01/16
Robbery,120.9,01/01/15
Robbery,113,12/01/16
Aggravated assault,225.3,01/01/15
Aggravated assault,228.3,12/01/16
Burglary,223.4,01/01/15
Burglary,201.7,12/01/16
Larceny-theft,1305.7,01/01/15
Larceny-theft,1271,12/01/16
Motor vehicle theft,77.3,01/01/15
Motor vehicle theft,72.9,12/01/16
